Puerto Rico,PRI,2.20722898e-02,-4.34833552e+01
Qatar,QAT,3.68738763e-02,-7.28321335e+01
Romania,ROU,3.36810682e-02,-6.65030068e+01
Russia,RUS,6.03512792e-02,-1.17742452e+02
Rwanda,RWA,4.38251232e-02,-8.61920665e+01
Samoa,WSM,1.68706204e-02,-3.32719442e+01
San Marino,SMR,3.25823903e-02,-6.42633915e+01
Sao Tome and Principe,STP,2.60147135e-02,-5.12567038e+01
Saudia Arabia,SAU,3.36768377e-02,-6.65655182e+01
Senegal,SEN,2.94026970e-02,-5.77609664e+01
Serbia,SRB,5.90250000e-02,-1.14621275e+02
Seychelles,SYC,1.74928080e-02,-3.44954595e+01
Sierra Leone,SLE,2.55363156e-02,-5.02950696e+01
Singapore,SGP,2.01453202e-02,-3.96163276e+01
Slovakia,SVK,5.79566502e-02,-1.13254936e+02
Slovenia,SVN,4.73486096e-02,-9.20755115e+01
Solomon Islands,SLB,1.20326371e-02,-2.37130867e+01
Somalia,SOM,2.92415653e-02,-5.76220713e+01
South Africa,ZAF,1.83712850e-02,-3.61316219e+01
South Sudan,SSD,-4.32454545e-02,8.59802909e+01
Spain,ESP,2.95196192e-02,-5.81343816e+01
Sri Lanka,LKA,2.33064516e-02,-4.58827681e+01
Sudan,SDN,-1.26636364e-02,2.58737091e+01
Suriname,SUR,3.06887361e-02,-6.05560933e+01
Sweden,SWE,3.90456901e-02,-7.70038543e+01
Switzerland,CHE,3.67743522e-02,-7.24801123e+01
Syria,SYR,3.30455315e-02,-6.53128171e+01
Taiwan,TWN,2.35152300e-02,-4.64759705e+01
Tajikistan,TJK,3.60487208e-02,-7.02498146e+01
Tanzania,TZA,2.07945003e-02,-4.09713418e+01
Thailand,THA,2.30897409e-02,-4.55014610e+01
Timor-Leste,TLS,2.89604082e-02,-5.70650633e+01
Togo,TGO,2.58592279e-02,-5.09022802e+01
Tonga,TON,1.31740349e-02,-2.59463068e+01
Trinidad and Tobago,TTO,2.00656849e-02,-3.96007458e+01
Tunisia,TUN,3.57509783e-02,-7.04396241e+01
Turkey,TUR,2.80489688e-02,-5.54165788e+01
Turkmenistan,TKM,4.04320356e-02,-7.87432863e+01
Turks and Caicos Islands,TCA,1.26470588e-04,-2.00082353e-01
Tuvalu,TUV,2.17609585e-02,-4.29448498e+01
Uganda,UGA,1.98143310e-02,-3.90084151e+01
Ukraine,UKR,7.07379310e-02,-1.38506549e+02
United Arab Emirates,ARE,2.82145426e-02,-5.57355313e+01
United Kingdom of Great Britain and Northern Ireland,GBR,2.56367530e-02,-5.06026442e+01
United States of America,USA,2.59251190e-02,-5.11408463e+01
Uruguay,URY,1.75269170e-02,-3.45007638e+01
Uzbekistan,UZB,4.01790879e-02,-7.82289548e+01
Vanuatu,VUT,1.62788472e-02,-3.21193323e+01
Venezuela,VEN,1.88997356e-02,-3.72812096e+01
Viet Nam,VNM,2.30268112e-02,-4.54109549e+01
Yemen,YEM,1.80467742e-02,-3.55133613e+01
Zambia,ZMB,2.27603384e-02,-4.47988502e+01



​
